Desagregación,Código subregión,Subregión,Código entidad,Entidad,Pilar,Número ODS,Nombre ODS,Número meta,Nombre meta,Número indicador,Indicador,Valor,Numerador,Denominador,Año,Fuente,Unidad de medida
Municipal,SR08,Suroeste,05091,Betania,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),9.811121,281.7353548,2871.591928,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR08,Suroeste,05368,Jericó,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),4.60921371,212.5308442,4611,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR06,Occidente,05044,Anzá,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),10.44680236,273.3409491,2616.503497,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR05,Norte,05086,Belmira,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),4.360847696,86.126742,1975,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR06,Occidente,05761,Sopetrán,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),13.95699666,959.8226601,6877,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR03,Magdalena Medio,05591,Puerto Triunfo,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),20.57997807,1191.16913,5788,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR06,Occidente,05284,Frontino,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),0.316074983,20.64285714,6531,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR04,Nordeste,05890,Yolombó,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),22.19132786,1596.444126,7194,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR07,Oriente,05206,Concepción,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),7.621919679,163.9474923,2151,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR09,Urabá,05172,Chigorodó,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),34.19369633,5935.314316,17357.9196,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR06,Occidente,05113,Buriticá,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),16.92634753,434.6686047,2568,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR08,Suroeste,05847,Urrao,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),6.606712669,815.5027099,12343.5474,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR07,Oriente,05697,El Santuario,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),8.515264072,999.0107809,11732,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR09,Urabá,05147,Carepa,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),31.35550721,3687.094093,11759,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR09,Urabá,05873,Vigía del Fuerte,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),35.68775244,705.9037433,1978,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR06,Occidente,05842,Uramita,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),5.050590119,132.1234375,2616,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
Municipal,SR06,Occidente,05543,Peque,Personas,2,Hambre cero,2.1,Acceso universal a alimentos seguros y nutricionales,2.1.1.P,Prevalencia de inseguridad alimentaria en el hogar (moderada o severa),14.87717315,451.6709769,3036,2017,DAP - Departamento Administrativo de Planeación de Antioquia  Encuesta de Calidad de Vida de Antioquia,Porcentaje
